object,task,log,commit,seed,first_goal_step,time_to_goal_s
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00001.txt,d565583,1,2815,211.125
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00002.txt,d565583,2,6097,457.275
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00003.txt,d565583,3,2632,197.400
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00005.txt,d565583,5,4884,366.300
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00006.txt,d565583,6,2845,213.375
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00007.txt,d565583,7,1737,130.275
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00008.txt,d565583,8,7828,587.100
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00009.txt,d565583,9,1477,110.775
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00010.txt,d565583,10,1215,91.125
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00011.txt,d565583,11,4770,357.750
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00012.txt,d565583,12,2273,170.475
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00013.txt,d565583,13,1237,92.775
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00014.txt,d565583,14,1517,113.775
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00016.txt,d565583,16,1192,89.400
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00017.txt,d565583,17,6912,518.400
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00018.txt,d565583,18,1009,75.675
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00019.txt,d565583,19,7029,527.175
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00020.txt,d565583,20,6455,484.125
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00021.txt,d565583,21,1542,115.650
Push T,push_t,results/fig8_block_28_c3plus/push_t/push_t_seed00023.txt,d565583,23,5610,420.750
