object,task,log,commit,seed,goal_index,goal_timestamp_s,segment_time_to_goal_s,session_total_s,session_outcome,failure_category
Letter I,I_shape_texture,results/fig8_consecutive_28_c3plus/I_shape_texture/I_shape_texture_consecutive28.txt,4b12d8a,0,1,15.375,15.375,30.075,FAIL,numerical_divergence
Letter I,I_shape_texture,results/fig8_consecutive_28_c3plus/I_shape_texture/I_shape_texture_consecutive28.txt,4b12d8a,0,2,30.075,14.700,30.075,FAIL,numerical_divergence
Letter C,C_shape_texture,results/fig8_consecutive_28_c3plus/C_shape_texture/C_shape_texture_consecutive28.txt,4b12d8a,0,1,14.700,14.700,28.350,FAIL,numerical_divergence
Letter C,C_shape_texture,results/fig8_consecutive_28_c3plus/C_shape_texture/C_shape_texture_consecutive28.txt,4b12d8a,0,2,28.350,13.650,28.350,FAIL,numerical_divergence
Letter R,R_shape_texture,results/fig8_consecutive_28_c3plus/R_shape_texture/R_shape_texture_consecutive28.txt,4b12d8a,0,1,15.525,15.525,80.100,FAIL,numerical_divergence
Letter R,R_shape_texture,results/fig8_consecutive_28_c3plus/R_shape_texture/R_shape_texture_consecutive28.txt,4b12d8a,0,2,80.100,64.575,80.100,FAIL,numerical_divergence
Letter A,A_shape_video,results/fig8_consecutive_28_c3plus/A_shape_video/A_shape_video_consecutive28.txt,4b12d8a,0,1,13.500,13.500,13.500,FAIL,persistent_topple
Letter Y,Y_shape_video,results/fig8_consecutive_28_c3plus/Y_shape_video/Y_shape_video_consecutive28.txt,4b12d8a,0,1,36.300,36.300,892.725,FAIL,persistent_topple
Letter Y,Y_shape_video,results/fig8_consecutive_28_c3plus/Y_shape_video/Y_shape_video_consecutive28.txt,4b12d8a,0,2,49.875,13.575,892.725,FAIL,persistent_topple
Letter Y,Y_shape_video,results/fig8_consecutive_28_c3plus/Y_shape_video/Y_shape_video_consecutive28.txt,4b12d8a,0,3,249.900,200.025,892.725,FAIL,persistent_topple
Letter Y,Y_shape_video,results/fig8_consecutive_28_c3plus/Y_shape_video/Y_shape_video_consecutive28.txt,4b12d8a,0,4,612.600,362.700,892.725,FAIL,persistent_topple
Letter Y,Y_shape_video,results/fig8_consecutive_28_c3plus/Y_shape_video/Y_shape_video_consecutive28.txt,4b12d8a,0,5,725.925,113.325,892.725,FAIL,persistent_topple
Letter Y,Y_shape_video,results/fig8_consecutive_28_c3plus/Y_shape_video/Y_shape_video_consecutive28.txt,4b12d8a,0,6,822.000,96.075,892.725,FAIL,persistent_topple
Letter Y,Y_shape_video,results/fig8_consecutive_28_c3plus/Y_shape_video/Y_shape_video_consecutive28.txt,4b12d8a,0,7,892.725,70.725,892.725,FAIL,persistent_topple
Letter G,G_shape_video,results/fig8_consecutive_28_c3plus/G_shape_video/G_shape_video_consecutive28.txt,4b12d8a,0,1,16.125,16.125,30.600,FAIL,numerical_divergence
Letter G,G_shape_video,results/fig8_consecutive_28_c3plus/G_shape_video/G_shape_video_consecutive28.txt,4b12d8a,0,2,30.600,14.475,30.600,FAIL,numerical_divergence
Letter B,B_shape_video,results/fig8_consecutive_28_c3plus/B_shape_video/B_shape_video_consecutive28.txt,4b12d8a,0,1,41.775,41.775,60.750,FAIL,numerical_divergence
Letter B,B_shape_video,results/fig8_consecutive_28_c3plus/B_shape_video/B_shape_video_consecutive28.txt,4b12d8a,0,2,60.750,18.975,60.750,FAIL,numerical_divergence
Letter 3,3_shape_video,results/fig8_consecutive_28_c3plus/3_shape_video/3_shape_video_consecutive28.txt,4b12d8a,0,1,50.400,50.400,76.200,FAIL,numerical_divergence
Letter 3,3_shape_video,results/fig8_consecutive_28_c3plus/3_shape_video/3_shape_video_consecutive28.txt,4b12d8a,0,2,76.200,25.800,76.200,FAIL,numerical_divergence
Letter H,H_shape_texture,results/fig8_consecutive_28_c3plus/H_shape_texture/H_shape_texture_consecutive28.txt,4b12d8a,0,1,23.025,23.025,23.025,FAIL,numerical_divergence
Letter S,S_shape,results/fig8_consecutive_28_c3plus/S_shape/S_shape_consecutive28.txt,4b12d8a,0,1,35.700,35.700,67.500,FAIL,numerical_divergence
Letter S,S_shape,results/fig8_consecutive_28_c3plus/S_shape/S_shape_consecutive28.txt,4b12d8a,0,2,67.500,31.800,67.500,FAIL,numerical_divergence
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,1,21.825,21.825,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,2,38.400,16.575,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,3,52.575,14.175,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,4,76.950,24.375,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,5,89.925,12.975,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,6,107.400,17.475,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,7,116.700,9.300,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,8,130.950,14.250,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,9,139.950,9.000,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,10,164.850,24.900,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,11,173.025,8.175,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,12,183.750,10.725,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,13,189.300,5.550,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,14,207.150,17.850,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,15,226.275,19.125,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,16,240.375,14.100,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,17,266.250,25.875,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,18,278.625,12.375,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,19,293.550,14.925,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,20,308.700,15.150,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,21,327.000,18.300,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,22,337.650,10.650,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,23,348.075,10.425,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,24,363.450,15.375,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,25,382.200,18.750,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,26,393.375,11.175,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,27,407.025,13.650,413.475,PASS,
Expo Box,expo_box,results/fig8_consecutive_28_c3plus/expo_box/expo_box_consecutive28.txt,4b12d8a,0,28,413.475,6.450,413.475,PASS,
Lotion,lotion_block,results/fig8_consecutive_28_c3plus/lotion_block/lotion_block_consecutive28.txt,4b12d8a,0,1,9.825,9.825,109.050,FAIL,persistent_topple
Lotion,lotion_block,results/fig8_consecutive_28_c3plus/lotion_block/lotion_block_consecutive28.txt,4b12d8a,0,2,28.425,18.600,109.050,FAIL,persistent_topple
