step,sim_t,dx_mm,dy_mm,d_mm,obj_prev_x,obj_prev_y,obj_curr_x,obj_curr_y,ee_x,ee_y,ee_z,ee_to_box_mm,p_repos_x,p_repos_y,p_repos_z,switch_reason,contact_active,n_x,n_y,n_z
46,0.46,-1.0000,2.0000,2.2361,-0.0,0.0,-0.001,0.002,-0.029,-0.07,0.114,77.00,-0.03,-0.069,0.05,kStayInRepos,False,,,
47,0.47,0.0000,2.0000,2.0000,-0.001,0.002,-0.001,0.004,-0.029,-0.069,0.11,78.00,-0.03,-0.069,0.05,kStayInRepos,False,,,
48,0.48,0.0000,1.0000,1.0000,-0.001,0.004,-0.001,0.005,-0.029,-0.069,0.107,79.00,-0.03,-0.069,0.05,kToBetterRepos,False,,,
50,0.5,0.0000,1.0000,1.0000,-0.001,0.005,-0.001,0.006,-0.03,-0.069,0.099,80.00,-0.03,-0.069,0.05,kStayInRepos,False,,,
51,0.51,0.0000,-1.0000,1.0000,-0.001,0.006,-0.001,0.005,-0.03,-0.069,0.095,80.00,-0.03,-0.069,0.05,kStayInRepos,False,,,
53,0.53,0.0000,-1.0000,1.0000,-0.001,0.005,-0.001,0.004,-0.03,-0.069,0.087,79.00,-0.03,-0.069,0.05,kStayInRepos,False,,,
55,0.55,-1.0000,1.0000,1.4142,-0.001,0.004,-0.002,0.005,-0.03,-0.07,0.079,80.00,-0.03,-0.069,0.05,kStayInRepos,False,,,
57,0.57,1.0000,0.0000,1.0000,-0.002,0.005,-0.001,0.005,-0.03,-0.07,0.073,80.00,-0.03,-0.069,0.05,kStayInRepos,False,,,
134,1.34,0.0000,1.0000,1.0000,-0.001,0.005,-0.001,0.006,-0.029,-0.066,0.113,77.00,-0.03,-0.064,0.05,kStayInRepos,False,,,
135,1.35,0.0000,1.0000,1.0000,-0.001,0.006,-0.001,0.007,-0.029,-0.066,0.109,78.00,-0.03,-0.064,0.05,kStayInRepos,False,,,
136,1.36,0.0000,1.0000,1.0000,-0.001,0.007,-0.001,0.008,-0.029,-0.066,0.105,79.00,-0.03,-0.064,0.05,kStayInRepos,False,,,
137,1.37,0.0000,1.0000,1.0000,-0.001,0.008,-0.001,0.009,-0.029,-0.066,0.102,80.00,-0.03,-0.064,0.05,kStayInRepos,False,,,
141,1.41,0.0000,-1.0000,1.0000,-0.001,0.009,-0.001,0.008,-0.029,-0.066,0.086,79.00,-0.03,-0.064,0.05,kStayInRepos,False,,,
142,1.42,0.0000,-1.0000,1.0000,-0.001,0.008,-0.001,0.007,-0.029,-0.066,0.082,78.00,-0.03,-0.064,0.05,kStayInRepos,False,,,
143,1.43,-1.0000,1.0000,1.4142,-0.001,0.007,-0.002,0.008,-0.029,-0.066,0.078,79.00,-0.03,-0.064,0.05,kToBetterRepos,False,,,
144,1.44,0.0000,1.0000,1.0000,-0.002,0.008,-0.002,0.009,-0.029,-0.066,0.075,79.00,-0.03,-0.064,0.05,kStayInRepos,False,,,
221,2.21,2.0000,0.0000,2.0000,-0.002,0.009,-0.0,0.009,-0.044,-0.054,0.121,77.00,-0.046,-0.052,0.05,kStayInRepos,False,,,
222,2.22,1.0000,0.0000,1.0000,-0.0,0.009,0.001,0.009,-0.045,-0.054,0.118,78.00,-0.046,-0.052,0.05,kToBetterRepos,False,,,
227,2.27,-1.0000,1.0000,1.4142,0.001,0.009,0.0,0.01,-0.051,-0.049,0.114,78.00,-0.046,-0.052,0.05,kStayInRepos,False,,,
235,2.35,2.0000,1.0000,2.2361,0.0,0.01,0.002,0.011,-0.061,-0.047,0.103,85.00,-0.046,-0.052,0.05,kStayInRepos,False,,,
236,2.36,1.0000,0.0000,1.0000,0.002,0.011,0.003,0.011,-0.061,-0.046,0.102,86.00,-0.046,-0.052,0.05,kToBetterRepos,False,,,
237,2.37,1.0000,0.0000,1.0000,0.003,0.011,0.004,0.011,-0.061,-0.046,0.101,86.00,-0.046,-0.052,0.05,kStayInRepos,False,,,
238,2.38,1.0000,0.0000,1.0000,0.004,0.011,0.005,0.011,-0.061,-0.046,0.099,87.00,-0.046,-0.052,0.05,kToBetterRepos,False,,,
239,2.39,1.0000,0.0000,1.0000,0.005,0.011,0.006,0.011,-0.061,-0.046,0.098,88.00,-0.046,-0.052,0.05,kStayInRepos,False,,,
