mpc_step,admm_iter,k,n_c,lam_n_EE-BOX,lam_t_norm_EE-BOX,gamma_EE-BOX,lam_n_BOX-VERT-0,lam_t_norm_BOX-VERT-0,gamma_BOX-VERT-0,lam_n_BOX-VERT-1,lam_t_norm_BOX-VERT-1,gamma_BOX-VERT-1,lam_n_BOX-VERT-2,lam_t_norm_BOX-VERT-2,gamma_BOX-VERT-2,lam_n_BOX-VERT-3,lam_t_norm_BOX-VERT-3,gamma_BOX-VERT-3
0,0,0,5,1.734166,3.999793,-0.000000,1.905318,4.173917,-0.000000,1.904795,2.946432,-0.000000,2.076487,0.000000,-0.000000,1.733653,0.000000,2.075947
0,0,1,5,2.582214,4.030894,1.220282,1.879297,4.169063,1.220355,1.879232,2.862964,0.468740,1.176407,0.000000,1.971897,2.582145,0.000000,1.176315
0,0,2,5,2.320297,3.946073,0.614382,1.890327,4.059579,0.614455,1.890257,2.838181,0.000000,1.460375,0.000000,1.283453,2.320215,0.000000,1.460287
0,0,3,5,2.095982,3.873919,0.000000,1.925198,3.889840,0.000000,1.925164,2.745225,0.000000,1.754414,0.000000,0.562481,2.095946,0.000000,1.754380
0,0,4,5,1.943706,3.869240,0.000000,1.933942,3.870577,0.000000,1.933937,2.736893,0.000000,1.924179,0.000000,0.041913,1.943699,0.000000,1.924173
0,0,5,5,1.862631,3.869022,0.000000,1.924742,3.887470,0.000000,1.924742,2.748154,0.000000,1.986852,0.000000,0.000000,1.862632,0.000000,1.986853
0,0,6,5,1.812606,3.771835,0.000000,1.875817,3.790873,0.000000,1.875817,2.679807,0.000000,1.939029,0.000000,0.000000,1.812606,0.000000,1.939028
0,1,0,5,1.674358,3.709038,0.000000,1.849098,3.714026,0.000000,1.847262,2.620114,0.000000,2.024551,0.000000,0.000000,1.671369,0.000000,2.022002
0,1,1,5,-0.000000,15.047946,-0.000000,-0.000000,15.048413,-0.000000,-0.000000,0.000000,-0.000000,1.659800,0.000000,15.758326,-0.000000,0.000000,1.659333
0,1,2,5,-0.000000,14.385483,-0.000000,-0.000000,14.385670,-0.000000,-0.000000,0.000000,0.248160,2.085105,0.000000,13.892507,-0.000000,0.000000,2.084917
0,1,3,5,-0.000000,13.468404,3.093753,-0.000000,13.467980,3.097557,-0.000000,0.000000,0.817683,3.432636,0.000000,5.186132,-0.000000,0.000000,3.433061
0,1,4,5,-0.000000,14.013741,1.093619,-0.000000,14.014243,1.096393,-0.000000,0.000000,12.830841,5.493035,0.000000,-0.000000,-0.000000,0.000000,5.492534
0,1,5,5,-0.000000,14.480016,-0.000000,-0.000000,14.481290,-0.000000,-0.000000,0.000000,16.691568,5.864259,0.000000,-0.000000,-0.000000,0.000000,5.862986
0,1,6,5,-0.000000,15.197604,0.011689,-0.000000,15.199044,0.010284,-0.000000,0.000000,17.619912,6.069373,0.000000,-0.000000,-0.000000,0.000000,6.067934
0,2,0,5,1.586393,3.848487,-0.000000,1.879355,3.917533,-0.000000,1.876708,2.754402,-0.000000,2.172241,0.000000,-0.000000,1.583714,0.000000,2.169670
0,2,1,5,-0.000000,15.295971,-0.000000,-0.000000,15.295732,-0.000000,-0.000000,0.000000,-0.000000,1.460296,0.000000,16.639090,-0.000000,0.000000,1.460534
0,2,2,5,-0.000000,14.269003,-0.000000,-0.000000,14.269489,-0.000000,-0.000000,0.000000,-0.000000,1.889551,0.000000,14.324497,-0.000000,0.000000,1.889065
0,2,3,5,-0.000000,14.586423,-0.000000,-0.000000,14.587680,-0.000000,-0.000000,0.000000,16.730938,5.930803,0.000000,-0.000000,-0.000000,0.000000,5.929547
0,2,4,5,-0.000000,15.232109,-0.000000,-0.000000,15.233847,-0.000000,-0.000000,0.000000,18.716755,6.035517,0.000000,-0.000000,-0.000000,0.000000,6.033780
0,2,5,5,-0.000000,15.577626,-0.000000,-0.000000,15.579241,-0.000000,-0.000000,0.000000,19.814805,6.076539,0.000000,-0.000000,-0.000000,0.000000,6.074924
0,2,6,5,-0.000000,15.282157,-0.000000,-0.000000,15.283799,-0.000000,-0.000000,0.000000,18.870253,6.021126,0.000000,-0.000000,-0.000000,0.000000,6.019484
0,3,0,5,1.856125,3.868571,-0.000000,1.925523,3.886977,-0.000000,1.923455,2.747576,-0.000000,1.994871,0.000000,-0.000000,1.854023,0.000000,1.992854
0,3,1,5,-0.000000,15.037110,-0.000000,-0.000000,15.036935,-0.000000,-0.000000,0.000000,-0.000000,1.471442,0.000000,16.386026,-0.000000,0.000000,1.471617
0,3,2,5,-0.000000,14.226737,-0.000000,-0.000000,14.227211,-0.000000,-0.000000,0.000000,-0.000000,1.991533,0.000000,14.052546,-0.000000,0.000000,1.991059
0,3,3,5,-0.000000,15.102632,-0.000000,-0.000000,15.104234,-0.000000,-0.000000,0.000000,18.249527,6.023506,0.000000,-0.000000,-0.000000,0.000000,6.021904
0,3,4,5,-0.000000,15.512639,-0.000000,-0.000000,15.514310,-0.000000,-0.000000,0.000000,19.382720,6.084321,0.000000,-0.000000,-0.000000,0.000000,6.082651
0,3,5,5,-0.000000,16.058604,-0.000000,-0.000000,16.060416,-0.000000,-0.000000,0.000000,21.018722,6.195639,0.000000,-0.000000,-0.000000,0.000000,6.193827
0,3,6,5,-0.000000,15.897408,-0.000000,-0.000000,15.899185,-0.000000,-0.000000,0.000000,20.510502,6.164163,0.000000,-0.000000,-0.000000,0.000000,6.162387
0,4,0,5,1.934846,3.873005,-0.000000,1.936784,3.874046,-0.000000,1.935217,2.739338,-0.000000,1.938696,0.000000,-0.000000,1.933235,0.000000,1.937155
0,4,1,5,-0.000000,14.958070,-0.000000,-0.000000,14.958085,-0.000000,-0.000000,0.000000,-0.000000,1.534607,0.000000,16.163384,-0.000000,0.000000,1.534592
0,4,2,5,-0.000000,14.257745,-0.000000,-0.000000,14.258206,-0.000000,-0.000000,0.000000,-0.000000,1.974116,0.000000,14.141196,-0.000000,0.000000,1.973656
0,4,3,5,-0.000000,15.273924,-0.000000,-0.000000,15.275534,-0.000000,-0.000000,0.000000,18.665553,6.047412,0.000000,-0.000000,-0.000000,0.000000,6.045803
0,4,4,5,-0.000000,15.661563,-0.000000,-0.000000,15.663255,-0.000000,-0.000000,0.000000,19.807530,6.120889,0.000000,-0.000000,-0.000000,0.000000,6.119199
0,4,5,5,-0.000000,16.232235,-0.000000,-0.000000,16.234091,-0.000000,-0.000000,0.000000,21.596938,6.220692,0.000000,-0.000000,-0.000000,0.000000,6.218837
0,4,6,5,-0.000000,16.021352,-0.000000,-0.000000,16.023150,-0.000000,-0.000000,0.000000,20.963764,6.180904,0.000000,-0.000000,-0.000000,0.000000,6.179107
0,5,0,5,1.941380,3.872807,-0.000000,1.937447,3.871911,-0.000000,1.936275,2.737833,-0.000000,1.933505,0.000000,-0.000000,1.940160,0.000000,1.932343
0,5,1,5,-0.000000,14.950255,-0.000000,-0.000000,14.950399,-0.000000,-0.000000,0.000000,-0.000000,1.544115,0.000000,16.131895,-0.000000,0.000000,1.543971
0,5,2,5,-0.000000,14.260500,-0.000000,-0.000000,14.260952,-0.000000,-0.000000,0.000000,-0.000000,1.955179,0.000000,14.188729,-0.000000,0.000000,1.954726
0,5,3,5,-0.000000,15.312062,-0.000000,-0.000000,15.313669,-0.000000,-0.000000,0.000000,18.744392,6.056965,0.000000,-0.000000,-0.000000,0.000000,6.055358
0,5,4,5,-0.000000,15.697304,-0.000000,-0.000000,15.699012,-0.000000,-0.000000,0.000000,19.918730,6.128379,0.000000,-0.000000,-0.000000,0.000000,6.126672
0,5,5,5,-0.000000,16.280477,-0.000000,-0.000000,16.282341,-0.000000,-0.000000,0.000000,21.724105,6.231273,0.000000,-0.000000,-0.000000,0.000000,6.229409
0,5,6,5,-0.000000,16.083847,-0.000000,-0.000000,16.085662,-0.000000,-0.000000,0.000000,21.112019,6.197199,0.000000,-0.000000,-0.000000,0.000000,6.195385
0,6,0,5,1.938056,3.872360,-0.000000,1.936788,3.872040,-0.000000,1.935914,2.737930,-0.000000,1.935517,0.000000,-0.000000,1.937141,0.000000,1.934645
0,6,1,5,-0.000000,14.952780,-0.000000,-0.000000,14.953016,-0.000000,-0.000000,0.000000,-0.000000,1.541287,0.000000,16.140122,-0.000000,0.000000,1.541050
0,6,2,5,-0.000000,14.259703,-0.000000,-0.000000,14.260154,-0.000000,-0.000000,0.000000,-0.000000,1.955201,0.000000,14.187843,-0.000000,0.000000,1.954749
0,6,3,5,-0.000000,15.325778,-0.000000,-0.000000,15.327388,-0.000000,-0.000000,0.000000,18.777556,6.061124,0.000000,-0.000000,-0.000000,0.000000,6.059514
0,6,4,5,-0.000000,15.702894,-0.000000,-0.000000,15.704605,-0.000000,-0.000000,0.000000,19.944536,6.128064,0.000000,-0.000000,-0.000000,0.000000,6.126354
0,6,5,5,-0.000000,16.285450,-0.000000,-0.000000,16.287315,-0.000000,-0.000000,0.000000,21.740034,6.232164,0.000000,-0.000000,-0.000000,0.000000,6.230299
0,6,6,5,-0.000000,16.086774,-0.000000,-0.000000,16.088590,-0.000000,-0.000000,0.000000,21.128138,6.196858,0.000000,-0.000000,-0.000000,0.000000,6.195043
0,7,0,5,1.936654,3.872220,-0.000000,1.936471,3.872168,-0.000000,1.935818,2.738024,-0.000000,1.936287,0.000000,-0.000000,1.935969,0.000000,1.935635
0,7,1,5,-0.000000,14.953965,-0.000000,-0.000000,14.954271,-0.000000,-0.000000,0.000000,-0.000000,1.539952,0.000000,16.144299,-0.000000,0.000000,1.539645
0,7,2,5,-0.000000,14.259682,-0.000000,-0.000000,14.260133,-0.000000,-0.000000,0.000000,-0.000000,1.956732,0.000000,14.184511,-0.000000,0.000000,1.956281
0,7,3,5,-0.000000,15.329552,-0.000000,-0.000000,15.331164,-0.000000,-0.000000,0.000000,18.792350,6.061524,0.000000,-0.000000,-0.000000,0.000000,6.059913
0,7,4,5,-0.000000,15.703644,-0.000000,-0.000000,15.705356,-0.000000,-0.000000,0.000000,19.948399,6.128020,0.000000,-0.000000,-0.000000,0.000000,6.126309
0,7,5,5,-0.000000,16.285452,-0.000000,-0.000000,16.287318,-0.000000,-0.000000,0.000000,21.741307,6.232117,0.000000,-0.000000,-0.000000,0.000000,6.230252
0,7,6,5,-0.000000,16.087836,-0.000000,-0.000000,16.089651,-0.000000,-0.000000,0.000000,21.132418,6.196799,0.000000,-0.000000,-0.000000,0.000000,6.194984
0,8,0,5,1.935559,3.872160,0.000210,1.936100,3.872387,0.000229,1.935842,2.738185,0.000205,1.936668,0.000000,0.000240,1.935257,0.000000,1.936384
