step,sim_t,mode,switch_reason,attribution,ee_x,ee_y,ee_z,obj_x,obj_y,contact_active,n_x,n_y,n_z,contact_distance,ee_to_box,lambda_n_max,u_arm_norm,curr_cost,best_other_cost,cost_ratio,g_hat_x,g_hat_y,normal_dot_g_hat
1195,11.95,c3,kStayInC3,planned_productive,0.073,-0.009,0.069,-0.004,-0.005,True,0.98,-0.201,0.0,5e-05,0.081,8.678,23.31,216006.94,24495.2,0.11340006020176945,-1.0,0.018,-0.983618
1196,11.96,,,no_contact_free,0.073,-0.009,0.069,-0.004,-0.005,True,0.979,-0.202,0.0,-0.0,,,,,,,-1.0,0.018,-0.982636
1197,11.97,,,no_contact_free,0.073,-0.009,0.069,-0.004,-0.005,True,0.979,-0.204,0.001,-1e-05,,,,,,,-1.0,0.018,-0.982672
1198,11.98,,,no_contact_free,0.073,-0.009,0.069,-0.004,-0.005,True,0.978,-0.206,0.0,7e-05,,,,,,,-1.0,0.018,-0.981708
1199,11.99,c3,kStayInC3,planned_productive,0.073,-0.009,0.069,-0.004,-0.005,True,0.978,-0.207,0.001,-0.0,0.086,2.825,30.05,219440.07,24115.82,0.10989706665696926,-1.0,0.019,-0.981933
1200,12.0,c3,kStayInC3,planned_productive,0.073,-0.009,0.069,-0.004,-0.005,True,0.978,-0.209,-0.0,3e-05,0.088,8.736,24.75,260495.36,53619.0,0.20583476035811157,-1.0,0.019,-0.9819709999999999
1201,12.01,c3,kStayInC3,planned_productive,0.073,-0.009,0.069,-0.004,-0.006,True,0.978,-0.209,0.0,3e-05,0.09,8.59,26.02,222711.11,24106.29,0.10824017715146766,-1.0,0.019,-0.9819709999999999
1202,12.02,c3,kStayInC3,planned_productive,0.073,-0.009,0.069,-0.004,-0.006,True,0.978,-0.21,0.0,4e-05,0.092,6.298,23.17,224237.15,23837.23,0.10630366110165064,-1.0,0.019,-0.98199
1203,12.03,,,no_contact_free,0.073,-0.009,0.069,-0.004,-0.006,True,0.952,-0.306,0.0,0.00019,,,,,,,-1.0,0.019,-0.9578139999999999
1204,12.04,,,no_contact_free,0.073,-0.009,0.069,-0.004,-0.006,True,0.904,-0.428,0.0,0.00077,,,,,,,-1.0,0.019,-0.912132
