step,pr,dr,tol
-1,4.9328,80.5932,1e-03
1,3.8718,83.3044,1e-03
3,3.8718,83.3044,1e-03
6,3.8718,83.3044,1e-03
7,3.8743,83.4158,1e-03
8,3.8743,83.4158,1e-03
13,3.8743,83.4152,1e-03
14,3.8743,83.4152,1e-03
19,3.8743,83.4152,1e-03
20,3.8743,83.4152,1e-03
25,3.8743,83.4152,1e-03
26,3.8743,83.4152,1e-03
31,4.9359,80.3187,1e-03
32,4.9359,80.3187,1e-03
37,3.8743,83.4152,1e-03
38,3.8743,83.4152,1e-03
43,3.8743,83.4152,1e-03
44,3.8743,83.4152,1e-03
49,3.8743,83.4152,1e-03
50,3.8743,83.4152,1e-03
55,3.8743,83.4152,1e-03
56,3.8743,83.4152,1e-03
61,3.8743,83.4152,1e-03
62,3.8743,83.4152,1e-03
67,3.8743,83.4152,1e-03
68,3.8743,83.4152,1e-03
73,3.8743,83.4152,1e-03
74,3.8743,83.4152,1e-03
79,3.8743,83.4152,1e-03
80,3.8743,83.4152,1e-03
85,3.8743,83.4152,1e-03
86,3.8743,83.4152,1e-03
91,3.8743,83.4152,1e-03
92,3.8743,83.4152,1e-03
97,3.8743,83.4152,1e-03
98,3.8743,83.4152,1e-03
103,4.9359,80.3187,1e-03
104,4.9359,80.3187,1e-03
109,4.9359,80.3187,1e-03
110,4.9359,80.3187,1e-03
115,4.9359,80.3187,1e-03
116,4.9359,80.3187,1e-03
121,4.9359,80.3187,1e-03
122,4.9359,80.3187,1e-03
127,4.9359,80.3187,1e-03
128,4.9359,80.3187,1e-03
133,4.9359,80.3187,1e-03
134,4.9359,80.3187,1e-03
139,4.9359,80.3187,1e-03
140,4.9359,80.3187,1e-03
145,4.9359,80.3187,1e-03
146,4.9359,80.3187,1e-03
151,4.9359,80.3187,1e-03
152,4.9359,80.3187,1e-03
157,4.9359,80.3187,1e-03
158,4.9359,80.3187,1e-03
163,4.9359,80.3187,1e-03
164,4.9359,80.3187,1e-03
169,4.9359,80.3187,1e-03
170,4.9359,80.3187,1e-03
175,4.9359,80.3187,1e-03
176,4.9359,80.3187,1e-03
181,4.9359,80.3187,1e-03
182,4.9359,80.3187,1e-03
187,4.9359,80.3187,1e-03
188,4.9359,80.3187,1e-03
193,4.9359,80.3187,1e-03
194,4.9359,80.3187,1e-03
199,4.9359,80.3187,1e-03
200,4.9359,80.3187,1e-03
205,4.9359,80.3187,1e-03
206,4.9359,80.3187,1e-03
211,4.9359,80.3187,1e-03
212,4.9359,80.3187,1e-03
217,4.9359,80.3187,1e-03
218,4.9359,80.3187,1e-03
223,4.9359,80.3187,1e-03
224,4.9359,80.3187,1e-03
229,4.9359,80.3187,1e-03
230,4.9359,80.3187,1e-03
235,4.9359,80.3187,1e-03
236,4.9359,80.3187,1e-03
241,4.9359,80.3187,1e-03
242,4.9359,80.3187,1e-03
247,4.9359,80.3187,1e-03
248,4.9359,80.3187,1e-03
253,4.9359,80.3187,1e-03
254,4.9359,80.3187,1e-03
259,4.9359,80.3187,1e-03
260,4.9359,80.3187,1e-03
265,4.9359,80.3187,1e-03
266,4.9359,80.3187,1e-03
271,4.9359,80.3187,1e-03
272,4.9359,80.3187,1e-03
277,4.9359,80.3187,1e-03
278,4.9359,80.3187,1e-03
283,4.9359,80.3187,1e-03
284,4.9359,80.3187,1e-03
289,4.9359,80.3187,1e-03
290,4.9359,80.3187,1e-03
295,4.9359,80.3187,1e-03
296,4.9359,80.3187,1e-03
301,4.9359,80.3187,1e-03
302,4.9359,80.3187,1e-03
307,4.9359,80.3187,1e-03
308,4.9359,80.3187,1e-03
313,4.9359,80.3187,1e-03
314,4.9359,80.3187,1e-03
319,4.9359,80.3187,1e-03
320,4.9359,80.3187,1e-03
325,4.9359,80.3187,1e-03
