step,u0_Nm,lambda_n_max,eta_n_max,primal,iters,iters_max
1,34.28,1.058,1.279,4.933,25,25
3,33.98,0.0,0.742,3.872,25,25
6,28.99,0.0,0.742,3.872,25,25
7,28.99,0.0,0.742,3.872,25,25
8,34.12,0.0,0.74,3.874,25,25
13,31.43,0.0,0.74,3.874,25,25
14,34.22,0.0,0.74,3.874,25,25
19,33.04,0.0,0.74,3.874,25,25
20,34.26,0.0,0.74,3.874,25,25
25,34.41,0.0,0.74,3.874,25,25
26,34.28,0.0,0.74,3.874,25,25
31,33.98,0.0,0.74,3.874,25,25
32,34.28,1.058,1.279,4.936,25,25
37,34.22,1.058,1.279,4.936,25,25
38,34.28,0.0,0.74,3.874,25,25
43,33.86,0.0,0.74,3.874,25,25
44,34.27,0.0,0.74,3.874,25,25
49,33.9,0.0,0.74,3.874,25,25
50,34.25,0.0,0.74,3.874,25,25
55,33.71,0.0,0.74,3.874,25,25
56,34.23,0.0,0.74,3.874,25,25
61,33.67,0.0,0.74,3.874,25,25
62,34.22,0.0,0.74,3.874,25,25
67,33.57,0.0,0.74,3.874,25,25
68,34.2,0.0,0.74,3.874,25,25
73,33.51,0.0,0.74,3.874,25,25
74,34.18,0.0,0.74,3.874,25,25
79,33.45,0.0,0.74,3.874,25,25
80,34.16,0.0,0.74,3.874,25,25
85,33.39,0.0,0.74,3.874,25,25
86,34.15,0.0,0.74,3.874,25,25
91,33.34,0.0,0.74,3.874,25,25
92,34.13,0.0,0.74,3.874,25,25
97,33.3,0.0,0.74,3.874,25,25
98,34.12,0.0,0.74,3.874,25,25
103,33.25,0.0,0.74,3.874,25,25
104,34.11,1.058,1.279,4.936,25,25
109,33.21,1.058,1.279,4.936,25,25
110,34.1,1.058,1.279,4.936,25,25
115,33.18,1.058,1.279,4.936,25,25
116,34.09,1.058,1.279,4.936,25,25
121,33.14,1.058,1.279,4.936,25,25
122,34.08,1.058,1.279,4.936,25,25
127,33.11,1.058,1.279,4.936,25,25
128,34.07,1.058,1.279,4.936,25,25
133,33.08,1.058,1.279,4.936,25,25
134,34.07,1.058,1.279,4.936,25,25
139,33.05,1.058,1.279,4.936,25,25
140,34.06,1.058,1.279,4.936,25,25
145,33.03,1.058,1.279,4.936,25,25
146,34.06,1.058,1.279,4.936,25,25
151,33.01,1.058,1.279,4.936,25,25
152,34.05,1.058,1.279,4.936,25,25
157,32.99,1.058,1.279,4.936,25,25
158,34.05,1.058,1.279,4.936,25,25
163,32.97,1.058,1.279,4.936,25,25
164,34.05,1.058,1.279,4.936,25,25
169,32.96,1.058,1.279,4.936,25,25
170,34.05,1.058,1.279,4.936,25,25
175,32.94,1.058,1.279,4.936,25,25
176,34.05,1.058,1.279,4.936,25,25
181,32.93,1.058,1.279,4.936,25,25
182,34.06,1.058,1.279,4.936,25,25
187,32.92,1.058,1.279,4.936,25,25
188,34.06,1.058,1.279,4.936,25,25
193,32.91,1.058,1.279,4.936,25,25
194,34.06,1.058,1.279,4.936,25,25
199,32.91,1.058,1.279,4.936,25,25
200,34.07,1.058,1.279,4.936,25,25
205,32.9,1.058,1.279,4.936,25,25
206,34.07,1.058,1.279,4.936,25,25
211,32.9,1.058,1.279,4.936,25,25
212,34.08,1.058,1.279,4.936,25,25
217,32.9,1.058,1.279,4.936,25,25
218,34.09,1.058,1.279,4.936,25,25
223,32.9,1.058,1.279,4.936,25,25
224,34.1,1.058,1.279,4.936,25,25
229,32.9,1.058,1.279,4.936,25,25
230,34.11,1.058,1.279,4.936,25,25
235,32.9,1.058,1.279,4.936,25,25
236,34.12,1.058,1.279,4.936,25,25
241,32.91,1.058,1.279,4.936,25,25
242,34.13,1.058,1.279,4.936,25,25
247,32.91,1.058,1.279,4.936,25,25
248,34.14,1.058,1.279,4.936,25,25
253,32.92,1.058,1.279,4.936,25,25
254,34.15,1.058,1.279,4.936,25,25
259,32.93,1.058,1.279,4.936,25,25
260,34.17,1.058,1.279,4.936,25,25
265,32.94,1.058,1.279,4.936,25,25
266,34.18,1.058,1.279,4.936,25,25
271,32.95,1.058,1.279,4.936,25,25
272,34.2,1.058,1.279,4.936,25,25
277,32.96,1.058,1.279,4.936,25,25
278,34.21,1.058,1.279,4.936,25,25
283,32.97,1.058,1.279,4.936,25,25
284,34.23,1.058,1.279,4.936,25,25
289,32.98,1.058,1.279,4.936,25,25
290,34.25,1.058,1.279,4.936,25,25
295,33.0,1.058,1.279,4.936,25,25
296,34.27,1.058,1.279,4.936,25,25
301,33.01,1.058,1.279,4.936,25,25
302,34.29,1.058,1.279,4.936,25,25
307,33.03,1.058,1.279,4.936,25,25
308,34.3,1.058,1.279,4.936,25,25
313,33.05,1.058,1.279,4.936,25,25
314,34.32,1.058,1.279,4.936,25,25
319,33.06,1.058,1.279,4.936,25,25
320,34.35,1.058,1.279,4.936,25,25
325,33.08,1.058,1.279,4.936,25,25
326,34.37,1.058,1.279,4.936,25,25
331,33.1,1.058,1.279,4.936,25,25
332,34.39,1.058,1.279,4.936,25,25
337,33.12,1.058,1.279,4.936,25,25
338,34.42,1.058,1.279,4.936,25,25
343,33.14,1.058,1.279,4.936,25,25
344,34.44,1.058,1.279,4.936,25,25
349,33.16,1.058,1.279,4.936,25,25
350,34.46,1.058,1.279,4.936,25,25
355,33.18,1.058,1.279,4.936,25,25
356,34.49,1.058,1.279,4.936,25,25
361,33.2,1.058,1.279,4.936,25,25
362,34.52,1.058,1.279,4.936,25,25
367,33.23,1.058,1.279,4.936,25,25
368,34.58,1.058,1.279,4.936,25,25
373,33.25,1.058,1.279,4.936,25,25
374,34.6,1.058,1.279,4.936,25,25
379,34.61,1.058,1.279,4.936,25,25
381,35.24,1.058,1.279,4.936,25,25
384,35.96,1.058,1.279,4.936,25,25
387,36.64,1.058,1.279,4.936,25,25
390,37.29,1.058,1.279,4.936,25,25
393,37.91,1.058,1.279,4.936,25,25
396,38.48,1.058,1.279,4.936,25,25
399,38.91,1.058,1.279,4.936,25,25
402,38.95,1.058,1.279,4.936,25,25
405,39.01,1.058,1.279,4.936,25,25
408,39.13,1.058,1.279,4.936,25,25
411,39.29,1.058,1.279,4.936,25,25
414,39.5,1.058,1.279,4.936,25,25
417,39.34,1.058,1.279,4.936,25,25
420,39.08,1.058,1.279,4.936,25,25
423,38.84,1.058,1.279,4.936,25,25
426,38.67,1.058,1.279,4.936,25,25
429,38.55,1.058,1.279,4.936,25,25
432,38.48,1.058,1.279,4.936,25,25
435,38.81,1.058,1.279,4.936,25,25
438,39.24,1.058,1.279,4.936,25,25
441,39.75,1.058,1.279,4.936,25,25
444,39.6,1.058,1.279,4.936,25,25
447,39.28,1.058,1.279,4.936,25,25
450,39.05,1.058,1.279,4.936,25,25
453,38.91,1.058,1.279,4.936,25,25
456,38.9,1.058,1.279,4.936,25,25
459,39.01,1.058,1.279,4.936,25,25
462,39.19,1.058,1.279,4.936,25,25
465,39.3,1.058,1.279,4.936,25,25
468,39.51,1.058,1.279,4.936,25,25
471,39.52,1.058,1.279,4.936,25,25
474,39.42,1.059,1.279,4.936,25,25
477,40.04,1.058,1.279,4.936,25,25
480,40.13,1.058,1.279,4.936,25,25
483,40.11,1.058,1.279,4.936,25,25
486,39.88,1.058,1.279,4.936,25,25
489,40.2,1.058,1.279,4.936,25,25
492,40.53,1.058,1.279,4.936,25,25
495,40.85,1.058,1.279,4.936,25,25
498,41.17,1.058,1.279,4.936,25,25
501,41.48,1.058,1.279,4.936,25,25
504,41.6,1.058,1.279,4.936,25,25
507,42.69,1.058,1.279,4.936,25,25
510,43.07,1.059,1.279,4.936,25,25
513,43.29,1.058,1.279,4.936,25,25
516,43.28,1.058,1.279,4.936,25,25
519,43.13,1.059,1.279,4.936,25,25
522,43.39,1.058,1.279,4.936,25,25
525,43.46,1.058,1.279,4.936,25,25
528,43.33,1.058,1.279,4.936,25,25
531,43.3,1.058,1.279,4.936,25,25
534,43.37,1.058,1.279,4.936,25,25
537,43.35,1.058,1.279,4.936,25,25
540,43.34,1.058,1.279,4.936,25,25
543,43.48,1.058,1.279,4.936,25,25
546,43.5,1.058,1.279,4.936,25,25
549,43.49,1.058,1.279,4.936,25,25
552,43.59,1.058,1.279,4.936,25,25
555,43.73,1.058,1.279,4.936,25,25
558,43.46,1.058,1.279,4.936,25,25
561,43.76,1.059,1.279,4.936,25,25
564,43.85,1.058,1.279,4.936,25,25
567,43.74,1.058,1.279,4.936,25,25
570,34.57,1.058,1.279,4.936,25,25
571,42.7,1.058,1.279,4.936,25,25
