step,A_is_ee,F_W_x,F_W_y,F_W_z,F_W_mag,box_x,box_y,box_z,ee_x,ee_y,ee_z
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.00013,-0.00051,0.20008
2,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00015,-9e-05,0.20015
3,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00037,0.00053,0.20023
4,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00083,0.00092,0.20027
5,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00143,0.00116,0.20028
6,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00213,0.0013,0.20028
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.00296,0.00138,0.20028
8,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00367,0.0014,0.20028
9,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00448,0.00139,0.20028
10,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.0053,0.00137,0.20028
11,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00613,0.00133,0.20029
12,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00697,0.00128,0.2003
13,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00781,0.00123,0.20031
14,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00865,0.00117,0.20032
15,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.00949,0.00111,0.20033
16,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.01033,0.00105,0.20034
17,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.01117,0.00099,0.20036
18,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.01201,0.00093,0.20037
19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.01294,0.00086,0.20039
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.01378,0.0008,0.2004
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.01462,0.00074,0.20041
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.01546,0.00068,0.20043
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0163,0.00062,0.20044
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.01715,0.00056,0.20045
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.01799,0.0005,0.20047
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.01883,0.00044,0.20048
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.01967,0.00039,0.2005
28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02051,0.00033,0.20051
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02135,0.00028,0.20052
30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02219,0.00022,0.20053
31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02303,0.00017,0.20055
32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02388,0.00012,0.20056
33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02472,7e-05,0.20057
34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02556,2e-05,0.20059
35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0264,-3e-05,0.2006
36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02724,-8e-05,0.20061
37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02808,-0.00013,0.20062
38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02892,-0.00017,0.20063
39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.02976,-0.00022,0.20065
40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0306,-0.00026,0.20066
41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03144,-0.00031,0.20067
42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03228,-0.00035,0.20068
43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03312,-0.00039,0.20069
44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03396,-0.00043,0.2007
45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03481,-0.00047,0.20071
46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03565,-0.00051,0.20072
47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03649,-0.00055,0.20073
48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03733,-0.00059,0.20075
49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03817,-0.00062,0.20076
50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03901,-0.00066,0.20077
51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.03985,-0.00069,0.20078
52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04069,-0.00072,0.20078
53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04153,-0.00075,0.20079
54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04237,-0.00079,0.2008
55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04321,-0.00082,0.20081
56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04405,-0.00084,0.20082
57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04489,-0.00087,0.20083
58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04573,-0.0009,0.20084
59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04657,-0.00093,0.20085
60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04741,-0.00095,0.20086
61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04825,-0.00097,0.20086
62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04909,-0.001,0.20087
63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04993,-0.00102,0.20088
64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05077,-0.00104,0.20089
65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05193,-0.0011,0.20091
66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05302,-0.00164,0.20092
67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05362,-0.0029,0.2009
68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05389,-0.00475,0.20086
69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05391,-0.00706,0.20083
70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05377,-0.00973,0.20081
71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05352,-0.0127,0.2008
72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05319,-0.01585,0.20082
73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05281,-0.01914,0.20085
74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0524,-0.02253,0.20089
75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05196,-0.02602,0.20094
76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05152,-0.02958,0.20099
77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05107,-0.03321,0.20105
78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05062,-0.0369,0.2011
79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05018,-0.04064,0.20111
80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04973,-0.04441,0.20106
81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0493,-0.04812,0.20099
82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0489,-0.05165,0.20091
83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04852,-0.05496,0.20085
84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04818,-0.05803,0.20044
85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04787,-0.06089,0.19947
86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04759,-0.06349,0.19803
87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04735,-0.06582,0.19618
88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04713,-0.06789,0.194
89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04695,-0.06971,0.19152
