object,task,log,commit,seed,first_goal_step,time_to_goal_s
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00000.txt,c47c446,0,199,14.925
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00002.txt,c47c446,2,235,17.625
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00003.txt,c47c446,3,186,13.950
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00004.txt,c47c446,4,187,14.025
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00007.txt,c47c446,7,197,14.775
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00008.txt,c47c446,8,419,31.425
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00009.txt,c47c446,9,298,22.350
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00010.txt,c47c446,10,257,19.275
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00012.txt,c47c446,12,228,17.100
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00017.txt,c47c446,17,217,16.275
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00019.txt,c47c446,19,255,19.125
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00022.txt,c47c446,22,256,19.200
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00023.txt,c47c446,23,248,18.600
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00026.txt,c47c446,26,212,15.900
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00027.txt,c47c446,27,243,18.225
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00028.txt,c47c446,28,259,19.425
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00029.txt,c47c446,29,382,28.650
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00030.txt,c47c446,30,329,24.675
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00031.txt,c47c446,31,185,13.875
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00032.txt,c47c446,32,240,18.000
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00034.txt,c47c446,34,225,16.875
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00036.txt,c47c446,36,187,14.025
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00037.txt,c47c446,37,247,18.525
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00038.txt,c47c446,38,297,22.275
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00040.txt,c47c446,40,244,18.300
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00041.txt,c47c446,41,363,27.225
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00042.txt,c47c446,42,277,20.775
Letter I,I_shape_texture,results/fig8_mesh_28_c3plus/I_shape_texture/I_shape_texture_seed00044.txt,c47c446,44,490,36.750
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00000.txt,c47c446,0,452,33.900
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00001.txt,c47c446,1,218,16.350
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00003.txt,c47c446,3,450,33.750
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00004.txt,c47c446,4,770,57.750
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00007.txt,c47c446,7,414,31.050
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00009.txt,c47c446,9,384,28.800
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00010.txt,c47c446,10,283,21.225
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00011.txt,c47c446,11,367,27.525
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00012.txt,c47c446,12,331,24.825
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00013.txt,c47c446,13,298,22.350
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00015.txt,c47c446,15,255,19.125
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00017.txt,c47c446,17,431,32.325
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00019.txt,c47c446,19,266,19.950
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00021.txt,c47c446,21,944,70.800
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00024.txt,c47c446,24,405,30.375
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00025.txt,c47c446,25,393,29.475
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00026.txt,c47c446,26,217,16.275
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00027.txt,c47c446,27,530,39.750
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00032.txt,c47c446,32,449,33.675
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00034.txt,c47c446,34,328,24.600
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00037.txt,c47c446,37,201,15.075
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00038.txt,c47c446,38,414,31.050
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00039.txt,c47c446,39,868,65.100
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00041.txt,c47c446,41,398,29.850
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00043.txt,c47c446,43,264,19.800
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00046.txt,c47c446,46,214,16.050
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00048.txt,c47c446,48,332,24.900
Letter C,C_shape_texture,results/fig8_mesh_28_c3plus/C_shape_texture/C_shape_texture_seed00051.txt,c47c446,51,306,22.950
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00000.txt,c47c446,0,207,15.525
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00001.txt,c47c446,1,522,39.150
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00002.txt,c47c446,2,797,59.775
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00003.txt,c47c446,3,748,56.100
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00004.txt,c47c446,4,391,29.325
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00005.txt,c47c446,5,354,26.550
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00006.txt,c47c446,6,318,23.850
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00007.txt,c47c446,7,1409,105.675
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00008.txt,c47c446,8,868,65.100
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00009.txt,c47c446,9,313,23.475
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00010.txt,c47c446,10,1473,110.475
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00011.txt,c47c446,11,298,22.350
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00012.txt,c47c446,12,1037,77.775
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00013.txt,c47c446,13,208,15.600
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00014.txt,c47c446,14,616,46.200
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00015.txt,c47c446,15,169,12.675
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00016.txt,c47c446,16,587,44.025
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00017.txt,c47c446,17,357,26.775
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00018.txt,c47c446,18,660,49.500
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00019.txt,c47c446,19,412,30.900
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00020.txt,c47c446,20,842,63.150
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00021.txt,c47c446,21,470,35.250
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00022.txt,c47c446,22,594,44.550
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00023.txt,c47c446,23,469,35.175
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00024.txt,c47c446,24,426,31.950
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00025.txt,c47c446,25,606,45.450
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00026.txt,c47c446,26,232,17.400
Letter R,R_shape_texture,results/fig8_mesh_28_c3plus/R_shape_texture/R_shape_texture_seed00027.txt,c47c446,27,413,30.975
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00004.txt,c47c446,4,386,28.950
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00006.txt,c47c446,6,461,34.575
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00008.txt,c47c446,8,522,39.150
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00009.txt,c47c446,9,395,29.625
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00010.txt,c47c446,10,258,19.350
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00011.txt,c47c446,11,454,34.050
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00014.txt,c47c446,14,285,21.375
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00015.txt,c47c446,15,348,26.100
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00018.txt,c47c446,18,1552,116.400
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00019.txt,c47c446,19,440,33.000
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00020.txt,c47c446,20,313,23.475
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00028.txt,c47c446,28,385,28.875
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00029.txt,c47c446,29,608,45.600
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00030.txt,c47c446,30,268,20.100
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00033.txt,c47c446,33,311,23.325
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00037.txt,c47c446,37,412,30.900
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00038.txt,c47c446,38,257,19.275
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00040.txt,c47c446,40,198,14.850
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00041.txt,c47c446,41,228,17.100
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00042.txt,c47c446,42,267,20.025
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00043.txt,c47c446,43,295,22.125
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00048.txt,c47c446,48,329,24.675
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00050.txt,c47c446,50,182,13.650
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00051.txt,c47c446,51,275,20.625
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00053.txt,c47c446,53,346,25.950
Letter A,A_shape_video,results/fig8_mesh_28_c3plus/A_shape_video/A_shape_video_seed00055.txt,c47c446,55,435,32.625
