Task: pushing  |  Steps: 5  |  Wall: 2.47s

         1763554 function calls (1763461 primitive calls) in 2.472 seconds

   Ordered by: cumulative time
   List reduced from 240 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.193    0.193    2.472    2.472 /d/projects/ERL/push_anything_ADMM/profiling/profile_run.py:120(_run_steps)
        5    0.000    0.000    2.278    0.456 /d/projects/ERL/push_anything_ADMM/control/ci_mpc_c3plus.py:37(compute_control)
        5    0.000    0.000    2.255    0.451 /d/projects/ERL/push_anything_ADMM/control/ci_mpc_c3plus.py:61(<listcomp>)
      100    0.056    0.001    2.254    0.023 /d/projects/ERL/push_anything_ADMM/control/base_mpc.py:70(rollout_trajectory)
     1500    0.897    0.001    1.340    0.001 /d/projects/ERL/push_anything_ADMM/control/admm_solver.py:103(run_admm_loop)
     1500    0.273    0.000    0.709    0.000 /d/projects/ERL/push_anything_ADMM/control/lcs_formulator.py:66(extract_lcs_contacts)
     7500    0.190    0.000    0.359    0.000 /d/projects/ERL/push_anything_ADMM/control/admm_solver.py:58(_z_update)
    11192    0.129    0.000    0.341    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/_core/numeric.py:1522(cross)
    33576    0.065    0.000    0.188    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/_core/numeric.py:1448(moveaxis)
    67152    0.061    0.000    0.095    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/_core/numeric.py:1386(normalize_axis_tuple)
    17801    0.052    0.000    0.093    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/linalg/_linalg.py:2575(norm)
    12000    0.052    0.000    0.092    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/_core/shape_base.py:220(vstack)
     1500    0.058    0.000    0.063    0.000 /d/projects/ERL/push_anything_ADMM/control/lcs_formulator.py:47(extract_dynamics)
    74202    0.015    0.000    0.055    0.000 {built-in method builtins.next}
    37101    0.018    0.000    0.053    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/contextlib.py:139(__exit__)
     1600    0.028    0.000    0.045    0.000 /d/projects/ERL/push_anything_ADMM/control/task_costs.py:57(__call__)
    37101    0.014    0.000    0.042    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/contextlib.py:279(helper)
    74202    0.033    0.000    0.039    0.000 /d/projects/ERL/push_anything_ADMM/profiling/section_timer.py:45(timed)
    12000    0.028    0.000    0.036    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/_core/shape_base.py:80(atleast_2d)
    37101    0.013    0.000    0.033    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/contextlib.py:130(__enter__)
    15010    0.033    0.000    0.033    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    37101    0.023    0.000    0.028    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/contextlib.py:102(__init__)
     1500    0.017    0.000    0.025    0.000 /d/projects/ERL/push_anything_ADMM/control/base_mpc.py:23(_renormalize_quaternions)
        1    0.000    0.000    0.023    0.023 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/__init__.py:326(__getattr__)
     13/1    0.000    0.000    0.023    0.023 <frozen importlib._bootstrap>:1022(_find_and_load)
     13/1    0.000    0.000    0.023    0.023 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     13/1    0.000    0.000    0.023    0.023 <frozen importlib._bootstrap>:664(_load_unlocked)
      4/1    0.000    0.000    0.023    0.023 <frozen importlib._bootstrap_external>:877(exec_module)
    67152    0.015    0.000    0.022    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/_core/numeric.py:1435(<listcomp>)
     23/1    0.000    0.000    0.022    0.022 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      4/1    0.000    0.000    0.022    0.022 {built-in method builtins.exec}
        1    0.000    0.000    0.022    0.022 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/random/__init__.py:1(<module>)
      4/3    0.000    0.000    0.022    0.007 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.022    0.022 {built-in method builtins.__import__}
        1    0.000    0.000    0.021    0.021 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/random/_pickle.py:1(<module>)
     7500    0.003    0.000    0.019    0.000 {method 'any' of 'numpy.ndarray' objects}
     7500    0.003    0.000    0.015    0.000 /root/miniconda3/envs/push_anything_ADMM/lib/python3.10/site-packages/numpy/_core/_methods.py:58(_any)
       13    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
        9    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
        9    0.014    0.002    0.014    0.002 {built-in method _imp.create_dynamic}


