run_id,phase,scene,case_id,configuration,alpha_p,alpha_theta,epsilon_m,w_obs,status,reason
A01,A,icra_sign,s05_g02_rot000,baseline,1,1,0.01,0,NOT_RUN,prerequisite gates blocked
A02,A,single_obstacle,s04_g02_rot000,baseline,1,1,0.01,0,NOT_RUN,prerequisite gates blocked
A03,A,ycb_clutter,s02_g02_rot000,baseline,1,1,0.01,0,NOT_RUN,prerequisite gates blocked
B01,B,open_task,s01_g02_rot000,orientation_0p5,1,0.5,NA,NA,NOT_RUN,prerequisite gates blocked
B02,B,open_task,s01_g02_rotCCW090,orientation_0p5,1,0.5,NA,NA,NOT_RUN,prerequisite gates blocked
B03,B,open_task,s01_g02_rotCW090,orientation_0p5,1,0.5,NA,NA,NOT_RUN,prerequisite gates blocked
B04,B,open_task,s01_g02_rot000,orientation_1p0,1,1.0,NA,NA,NOT_RUN,prerequisite gates blocked
B05,B,open_task,s01_g02_rotCCW090,orientation_1p0,1,1.0,NA,NA,NOT_RUN,prerequisite gates blocked
B06,B,open_task,s01_g02_rotCW090,orientation_1p0,1,1.0,NA,NA,NOT_RUN,prerequisite gates blocked
B07,B,open_task,s01_g02_rot000,orientation_2p0,1,2.0,NA,NA,NOT_RUN,prerequisite gates blocked
B08,B,open_task,s01_g02_rotCCW090,orientation_2p0,1,2.0,NA,NA,NOT_RUN,prerequisite gates blocked
B09,B,open_task,s01_g02_rotCW090,orientation_2p0,1,2.0,NA,NA,NOT_RUN,prerequisite gates blocked
C01,C,single_obstacle,s04_g02_rot000,weight_low,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
C02,C,shelf_gap,s01_g02_rot000,weight_low,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
C03,C,icra_sign,s05_g02_rot000,weight_low,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
C04,C,single_obstacle,s04_g02_rot000,weight_mid,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
C05,C,shelf_gap,s01_g02_rot000,weight_mid,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
C06,C,icra_sign,s05_g02_rot000,weight_mid,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
C07,C,single_obstacle,s04_g02_rot000,weight_high_or_current,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
C08,C,shelf_gap,s01_g02_rot000,weight_high_or_current,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
C09,C,icra_sign,s05_g02_rot000,weight_high_or_current,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase A w_prevent_star and Phase B selection
D01,D,open_task,s05_g02_rotCCW090,baseline,1,1.0,NA,NA,NOT_MATERIALIZED,requires Phase C selection
D02,D,open_task,s05_g02_rotCCW090,tuned,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase C selection
D03,D,open_task,s05_g02_rotCW090,baseline,1,1.0,NA,NA,NOT_MATERIALIZED,requires Phase C selection
D04,D,open_task,s05_g02_rotCW090,tuned,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase C selection
D05,D,single_obstacle,s04_g02_rotCCW090,baseline,1,1.0,0.01,0,NOT_MATERIALIZED,requires Phase C selection
D06,D,single_obstacle,s04_g02_rotCCW090,tuned,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase C selection
D07,D,shelf_gap,s01_g02_rotCCW090,baseline,1,1.0,0.01,0,NOT_MATERIALIZED,requires Phase C selection
D08,D,shelf_gap,s01_g02_rotCCW090,tuned,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase C selection
D09,D,icra_sign,s05_g02_rotCCW090,baseline,1,1.0,0.01,0,NOT_MATERIALIZED,requires Phase C selection
D10,D,icra_sign,s05_g02_rotCCW090,tuned,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase C selection
D11,D,ycb_clutter,s02_g02_rot000,baseline,1,1.0,0.01,0,NOT_MATERIALIZED,requires Phase C selection
D12,D,ycb_clutter,s02_g02_rot000,tuned,1,TBD,TBD,TBD,NOT_MATERIALIZED,requires Phase C selection
