cand,ee_x,ee_y,placeholder,hard_filtered,selected,reject,pred_dx,pred_dy,pred_dyaw,J_rank,J_pos,J_orient,J_angvel,J_linvel,J_c3,dV_pred,dV_cal,R_rate,txn_bar,T_repos,L1_task,L1_route,L1_txn,state,act_dx,act_dy,act_dyaw,act_dgoal,act_dV,act_tilt
logged_0,0.6434597739,-0.05757929107,0,0,0,index0_excluded_from_argmin,-4.36000000547665e-08,-1.3730000011924481e-08,0.0,14812.747789000001,1349.999578,6056.374317,4.276384781e-30,4.897520321e-32,7406.373894,2.8165009768876814e-08,1.7180655959014855e-08,3.4354441029823744e-09,14812.747789000001,0.0,1.627022185333351,1.1697829173342875,1.1697829173342875,S0,-0.002067014303300696,0.02103745998020666,-0.15080556321387117,0.01907909862145024,-0.01907909862145024,0.06240314071506322
logged_1,0.5907452285,0.02180620491,0,0,0,higher_cost,-4.36000000547665e-08,-1.3730000011924481e-08,0.0,14812.747789000001,1349.999578,6056.374317,4.276384781e-30,4.897520321e-32,7406.373894,2.8165009768876814e-08,1.7180655959014855e-08,2.772381099984636e-09,18356.181766631435,1.196075849027417,1.627022185333351,1.1697829173342875,1.6697829173342875,S0,0.01880844945945004,0.013909262874825898,-0.005411759403241234,0.01982682347978154,-0.01982682347978154,0.04696506490036901
logged_2,0.6638703107,0.1343877434,0,0,0,higher_cost,-4.36000000547665e-08,-1.3730000011924481e-08,0.0,14812.747789000001,1349.999578,6056.374317,4.276384781e-30,4.897520321e-32,7406.373894,2.8165009768876814e-08,1.7180655959014855e-08,2.5489977303731356e-09,19965.099448929188,1.7391613403947046,1.627022185333351,1.1697829173342875,1.8059997363116695,S0,-0.004997111927042108,-0.016112381201310748,0.07263217035248726,-0.01683979612763703,0.01683979612763703,6.357803665894585
logged_3,0.0,0.0,1,0,1,selected,-0.0049845390000000656,-0.007688354980000006,0.24205580400000004,13236.33149829691,1306.97143,5306.546692,4.620974984,0.02665231291,6618.165749,0.008943915496855859,0.005455788453082074,0.0005893863452346568,24502.37397603112,4.2557269282594605,1.5172479575513926,1.1081624526339104,2.375584790035,S0,,,,,,
logged_0,0.5311989642,0.2265685208,0,0,0,index0_excluded_from_argmin,0.028327539300000093,0.02027384653,0.3732836799999999,53060.542725272,2521.234397,23827.11334,176.2197599,5.703868372,26530.27136,0.0009445454059224256,0.0005761726976126797,0.0001152114972230913,53060.542725272,0.0,1.743903937336598,1.268590833251198,1.268590833251198,S1,0.002360968412727704,0.00024192872106586216,-0.05552837746731121,0.00044758459386273763,0.0014675837505315203,0.030889113775368408
logged_1,0.501583194,0.02177498467,0,0,1,selected,0.11858009680000003,0.32226465453,3.0227240440000003,206294.56921924,7482.982005,94775.76288,864.5209729,24.01876134,103147.2846,-0.2835647397536407,-0.17297449124972084,-0.025373083151144532,281230.8115374661,1.81624369952724,2.799795729252688,1.9183608972830632,2.4519452889870954,S1,,,,,,
logged_2,0.5857627939,0.06133449915,0,1,0,higher_cost,0.01210353360000005,0.21586802543,0.8609347931,68489.92554351,5074.30093,29050.53587,109.8942409,10.23173261,34244.96277,-0.18764021097745698,-0.11446052869624876,-0.017252610141516033,90864.06513332456,1.6333891015548565,2.3480684960863716,1.7523206399272762,2.252320639927276,S1,-0.015058674434332286,0.008418424630111582,0.024455421786220066,0.007417975483149042,-0.01663054210112369,0.052791694984901105
logged_3,0.0,0.0,1,1,0,higher_cost,0.022952233700000102,0.21072297302999998,-0.3993554410000002,28963.595338402,4925.80569,9461.425772,84.9212314,9.644975002,14481.79767,-0.17999537890496664,-0.10979718113202964,-0.01237012367882807,51410.36456718856,3.874997037923851,1.9611811490148752,1.5352760553843636,2.4469859047218847,S1,,,,,,
logged_0,0.6311116507,-0.09726771247,0,0,0,index0_excluded_from_argmin,-2.5199999975633602e-08,6.463000000109242e-08,0.0,4236.6176004,1350.000921,768.3078794,7.935730295e-30,4.651055164e-32,2118.3088,-5.719200524278989e-08,-3.488712319810183e-08,-6.976029433733619e-09,4236.6176004,0.0,1.2187759087751895,1.0566720454305434,1.0566720454305434,S2,,,,,,
logged_1,0.6105158842,0.01970405886,0,0,1,selected,-0.0029879317000000016,-0.002489872839999999,-0.01971053100000031,4184.268115886631,1340.715104,751.303428,0.1026166776,0.01290920903,2092.134058,0.0030852716930597768,0.0018820157327664637,0.0002974340369138469,5294.359692085352,1.3265062675883261,1.1936492653547883,1.0429864792065717,1.5831612435288152,S2,,,,,,
logged_2,0.5447571073,-0.06995085154,0,1,0,higher_cost,-2.5199999975633602e-08,6.463000000109242e-08,0.0,4236.6176004,1350.000921,768.3078794,7.935730295e-30,4.651055164e-32,2118.3088,-5.719200524278989e-08,-3.488712319810183e-08,-5.653540315128981e-09,5227.855115299597,1.16984539129282,1.2187759087751895,1.0566720454305434,1.5566720454305434,S2,-0.007481294403462124,0.027067285660283175,0.001933291650592306,0.026235006580414166,-0.025192259462600286,0.03494424133795047
logged_3,0.0,0.0,1,1,0,higher_cost,-0.005877121599999979,-0.007152013339999999,-0.10255255200000013,4010.76003951448,1318.647159,684.9651371,1.697069123,0.07065429148,2005.38002,0.008240159538911551,0.005026497318736046,0.0005454548558893497,7391.2209886946375,4.214239839675595,1.141291118978694,1.012177537474913,2.292894665834504,S2,,,,,,
