state,a,b,spearman,n
S0,J_rank_neg,dV_cal,1.0,3
S0,J_rank_neg,R_rate,-1.0,3
S0,J_rank_neg,L1_task_neg,1.0,3
S0,J_rank_neg,L1_route_neg,1.0,3
S0,J_rank_neg,L1_txn_neg,-1.0,3
S0,dV_cal,R_rate,-1.0,3
S0,dV_cal,L1_task_neg,1.0,3
S0,dV_cal,L1_route_neg,1.0,3
S0,dV_cal,L1_txn_neg,-1.0,3
S0,R_rate,L1_task_neg,-1.0,3
S0,R_rate,L1_route_neg,-1.0,3
S0,R_rate,L1_txn_neg,1.0,3
S0,L1_task_neg,L1_route_neg,1.0,3
S0,L1_task_neg,L1_txn_neg,-1.0,3
S0,L1_route_neg,L1_txn_neg,-1.0,3
S1,J_rank_neg,dV_cal,1.0,3
S1,J_rank_neg,R_rate,1.0,3
S1,J_rank_neg,L1_task_neg,1.0,3
S1,J_rank_neg,L1_route_neg,1.0,3
S1,J_rank_neg,L1_txn_neg,1.0,3
S1,dV_cal,R_rate,1.0,3
S1,dV_cal,L1_task_neg,1.0,3
S1,dV_cal,L1_route_neg,1.0,3
S1,dV_cal,L1_txn_neg,1.0,3
S1,R_rate,L1_task_neg,1.0,3
S1,R_rate,L1_route_neg,1.0,3
S1,R_rate,L1_txn_neg,1.0,3
S1,L1_task_neg,L1_route_neg,1.0,3
S1,L1_task_neg,L1_txn_neg,1.0,3
S1,L1_route_neg,L1_txn_neg,1.0,3
S2,J_rank_neg,dV_cal,1.0,3
S2,J_rank_neg,R_rate,1.0,3
S2,J_rank_neg,L1_task_neg,1.0,3
S2,J_rank_neg,L1_route_neg,1.0,3
S2,J_rank_neg,L1_txn_neg,-1.0,3
S2,dV_cal,R_rate,1.0,3
S2,dV_cal,L1_task_neg,1.0,3
S2,dV_cal,L1_route_neg,1.0,3
S2,dV_cal,L1_txn_neg,-1.0,3
S2,R_rate,L1_task_neg,1.0,3
S2,R_rate,L1_route_neg,1.0,3
S2,R_rate,L1_txn_neg,-1.0,3
S2,L1_task_neg,L1_route_neg,1.0,3
S2,L1_task_neg,L1_txn_neg,-1.0,3
S2,L1_route_neg,L1_txn_neg,-1.0,3
