factor,V0_plain,V1_route,V2_route_dV,V3_txn,V4_route_dV_txn
SAMPLING_C3_OBSTACLE_MODE,lcs_contact,lcs_contact,lcs_contact,lcs_contact,lcs_contact
SAMPLING_C3_ROUTE_MODE,unset,channel_v1,channel_v1,unset,channel_v1
SAMPLING_C3_ROUTE_SELECTION_MODE,unset(current),unset(current),delta_v_lexicographic,unset(current),delta_v_lexicographic
SAMPLING_C3_ROUTE_PREDICTION_MODE,unset(raw),unset(raw),calibrated_v1,unset(raw),calibrated_v1
SAMPLING_C3_REPOSITION_SCORE_MODE,unset(current),unset(current),unset(current),transaction_v1_1,transaction_v1_1
SAMPLING_C3_REPOS_PATH_VETO,ON(default),ON,ON,ON,ON
SAMPLING_C3_REPOS_TIMEOUT_DEFAULT,ON(default),ON,ON,ON,ON
SAMPLING_C3_COST_LOG_DIR,set,set,set,set,set
success_thresholds,0.02m/0.1rad,same,same,same,same
AUDIT: single-factor deltas,V0->V1 route only,V1->V2 selection+prediction (2 factors: calibrated_v1 is part of the V2 defn; note),V0->V3 repos mode only,V2->V4 repos mode only,
AUDIT NOTE,V2 differs from V1 by TWO switches (SELECTION_MODE + PREDICTION_MODE) by design of the fidelity arc; treat calibrated_v1 as part of the delta-V selector package,,,,
