state,cand,J_pos,J_orient,J_angvel,J_linvel,J_c3,J_rank,dV_cal,R_rate,T_repos,L1_task,L1_route,L1_txn
S0,logged_0,1349.999578,6056.374317,4.276384781e-30,4.897520321e-32,7406.373894,14812.747789000001,1.7180655959014855e-08,3.4354441029823744e-09,0.0,1.627022185333351,1.1697829173342875,1.1697829173342875
S0,logged_1,1349.999578,6056.374317,4.276384781e-30,4.897520321e-32,7406.373894,14812.747789000001,1.7180655959014855e-08,2.772381099984636e-09,1.196075849027417,1.627022185333351,1.1697829173342875,1.6697829173342875
S0,logged_2,1349.999578,6056.374317,4.276384781e-30,4.897520321e-32,7406.373894,14812.747789000001,1.7180655959014855e-08,2.5489977303731356e-09,1.7391613403947046,1.627022185333351,1.1697829173342875,1.8059997363116695
S0,logged_3,1306.97143,5306.546692,4.620974984,0.02665231291,6618.165749,13236.33149829691,0.005455788453082074,0.0005893863452346568,4.2557269282594605,1.5172479575513926,1.1081624526339104,2.375584790035
S1,logged_0,2521.234397,23827.11334,176.2197599,5.703868372,26530.27136,53060.542725272,0.0005761726976126797,0.0001152114972230913,0.0,1.743903937336598,1.268590833251198,1.268590833251198
S1,logged_1,7482.982005,94775.76288,864.5209729,24.01876134,103147.2846,206294.56921924,-0.17297449124972084,-0.025373083151144532,1.81624369952724,2.799795729252688,1.9183608972830632,2.4519452889870954
S1,logged_2,5074.30093,29050.53587,109.8942409,10.23173261,34244.96277,68489.92554351,-0.11446052869624876,-0.017252610141516033,1.6333891015548565,2.3480684960863716,1.7523206399272762,2.252320639927276
S1,logged_3,4925.80569,9461.425772,84.9212314,9.644975002,14481.79767,28963.595338402,-0.10979718113202964,-0.01237012367882807,3.874997037923851,1.9611811490148752,1.5352760553843636,2.4469859047218847
S2,logged_0,1350.000921,768.3078794,7.935730295e-30,4.651055164e-32,2118.3088,4236.6176004,-3.488712319810183e-08,-6.976029433733619e-09,0.0,1.2187759087751895,1.0566720454305434,1.0566720454305434
S2,logged_1,1340.715104,751.303428,0.1026166776,0.01290920903,2092.134058,4184.268115886631,0.0018820157327664637,0.0002974340369138469,1.3265062675883261,1.1936492653547883,1.0429864792065717,1.5831612435288152
S2,logged_2,1350.000921,768.3078794,7.935730295e-30,4.651055164e-32,2118.3088,4236.6176004,-3.488712319810183e-08,-5.653540315128981e-09,1.16984539129282,1.2187759087751895,1.0566720454305434,1.5566720454305434
S2,logged_3,1318.647159,684.9651371,1.697069123,0.07065429148,2005.38002,4010.76003951448,0.005026497318736046,0.0005454548558893497,4.214239839675595,1.141291118978694,1.012177537474913,2.292894665834504
